part_id,part_abs_freq,type
part_8590016752,7,Consumable
part_8589937123,3,Part
part_8589961357,1,Part
part_8589935561,175,Consumable
part_8590030399,3,Consumable
part_8589943059,12,Part
part_8589937427,61,Part
part_8589944483,1,Part
part_8589940115,1,Consumable
part_8590109345,1,Consumable
part_8590054457,1,Consumable
part_8590100487,3,Consumable
part_8590267416,1,Consumable
part_8589972636,1,Consumable
part_8590040400,1,Part
part_8590030427,8,Part
part_8589992054,3,Consumable
part_8589948478,1,Consumable
part_8590112686,1,Consumable
part_8589938184,8,Part
part_8589938185,8,Part
part_8589938181,10,Consumable
part_8589972272,1,Consumable
part_8589943074,6,Part
part_8590104817,2,Part
part_8590088941,2,Part
part_8590011631,5,Consumable
part_8590045458,5,Consumable
part_8589949860,4,Consumable
part_8589956359,3,Consumable
part_8590026285,1,Consumable
part_8590002041,1,Consumable
part_8590136789,1,Consumable
part_8590052659,5,Part
part_8589988172,2,Consumable
part_8590049459,4,Part
part_8590099965,3,Part
part_8589950856,10,Part
part_8589982323,3,Part
part_8590047304,4,Part
part_8589936212,2,Consumable
part_8589983846,1,Consumable
part_8589989346,2,Consumable
part_8589947542,20,Consumable
part_8589945292,54,Consumable
part_8590011107,1,Part
part_8589935805,7,Part
part_8590113465,1,Consumable
part_8589943097,2,Part
part_8590121055,1,Part
part_8590043597,1,Consumable
part_8589935692,10,Consumable
part_8589944918,6,Consumable
part_8589977910,10,Part
part_8589954718,6,Consumable
part_8589960499,4,Consumable
part_8590028683,5,Part
part_8590104777,1,Consumable
part_8589990099,1,Part
part_8589990094,1,Part
part_8590041874,1,Consumable
part_8589960583,3,Consumable
part_8589960582,2,Consumable
part_8589938402,10,Consumable
part_8589934639,114,Part
part_8590236251,5,Non-aircraft material
part_8589941820,16,Consumable
part_8589969817,1,Consumable
part_8590060223,4,Part
part_8589955801,8,Non-aircraft material
part_8589936906,14,Part
part_8590084047,29,Part
part_8590088876,2,Part
part_8589946241,6,Consumable
part_8589999156,4,Consumable
part_8589935324,113,Consumable
part_8589957698,3,Consumable
part_8590128281,1,Part
part_8590001128,10,Consumable
part_8589974357,6,Consumable
part_8590051862,2,Consumable
part_8589952106,1,Part
part_8590021335,1,Consumable
part_8590044967,1,Consumable
part_8590021283,1,Consumable
part_8589978559,1,Consumable
part_8589956357,1,Consumable
part_8590136969,1,Consumable
part_8589974894,4,Consumable
part_8589965380,7,Consumable
part_8590018309,5,Consumable
part_8589945280,1,Part
part_8589941364,11,Consumable
part_8590199712,8,Consumable
part_8590199681,8,Consumable
part_8590199680,8,Consumable
part_8590165640,1,Consumable
part_8590120679,3,Consumable
part_8590120677,3,Consumable
part_8590120673,2,Consumable
part_8590246018,7,Consumable
part_8589935259,31,Consumable
part_8589975778,10,Consumable
part_8590113862,6,Consumable
part_8589942266,43,Consumable
part_8590126091,1,Part
part_8590064751,1,Consumable
part_8590074925,1,Consumable
part_8589990239,23,Part
part_8590040421,1,Consumable
part_8590247132,1,Part
part_8590252081,6,Consumable
part_8590269425,1,Consumable
part_8590256114,2,Consumable
part_8590267707,2,Consumable
part_8589953764,3,Consumable
part_8590066801,1,Part
part_8590108847,2,Consumable
part_8589997439,2,Consumable
part_8590047925,4,Consumable
part_8589953037,1,Consumable
part_8589946682,25,Consumable
part_8590273064,1,Part
part_8589997440,1,Consumable
